index,job,sector,sex,2015,2016,2017
2643,"Translators, interpreters and other linguists",private sector and public enterprises,Males,,,
,,,Females,38600,39500,39750
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2652,"Musicians, singers and composers",private sector and public enterprises,Males,37600,40900,40460
,,,Females,,,
,,local government,Males,42800,44200,45440
,,,Females,41600,42900,44050
,,central government,Males,46600,49000,50030
,,,Females,45200,47100,49590
2653,Dancers and choreographers,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2654,"Film, stage and related directors and producers",private sector and public enterprises,Males,50100,50600,52720
,,,Females,47000,47300,49560
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2655,Actors,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,39500,40300,40850
,,,Females,,,
2656,"Announcers on radio, television and other media",private sector and public enterprises,Males,50800,53900,57040
,,,Females,46600,48800,51250
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3112,Civil engineering technicians,private sector and public enterprises,Males,52600,54200,55470
,,,Females,48800,51000,51780
,,local government,Males,45500,46500,47930
,,,Females,44400,45200,46930
,,central government,Males,42800,43300,44090
,,,Females,40700,41000,41640
3113,Electrical engineering technicians,private sector and public enterprises,Males,54000,55100,56840
,,,Females,49500,51200,52020
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3114,Electronics engineering technicians,private sector and public enterprises,Males,53100,54200,55200
,,,Females,52200,54200,55610
,,local government,Males,,,
,,,Females,,,
,,central government,Males,46200,50100,48910
,,,Females,,,
3115,Mechanical engineering technicians,private sector and public enterprises,Males,50200,50300,51640
,,,Females,48000,48700,50880
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3116,Chemical engineering technicians,private sector and public enterprises,Males,60000,61900,62940
,,,Females,48000,48100,49900
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,39370
3117,Mining and metallurgical technicians,private sector and public enterprises,Males,66800,67100,68170
,,,Females,59100,61400,63720
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3118,Draughtspersons,private sector and public enterprises,Males,46600,47400,48970
,,,Females,44400,45000,46230
,,local government,Males,43800,44000,46100
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3119,Physical and engineering science technicians not elsewhere classified,private sector and public enterprises,Males,53200,54000,55050
,,,Females,50500,51900,53290
,,local government,Males,44500,45900,47500
,,,Females,43600,44800,46580
,,central government,Males,44600,45300,46600
,,,Females,41400,41900,43310
3122,Manufacturing supervisors,private sector and public enterprises,Males,43400,44200,45710
,,,Females,42000,42900,44000
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
3123,Construction supervisors,private sector and public enterprises,Males,49700,50600,51800
,,,Females,49700,50200,52190
,,local government,Males,38500,39800,40480
,,,Females,,,
,,central government,Males,45900,48000,46810
,,,Females,,,
3131,Power production plant operators,private sector and public enterprises,Males,45300,46600,49090
,,,Females,,,
